candidate_id,candidate_name,city,district,subdistrict,latitude,longitude,location_type,rent_cost_estimation,visibility_score,nearest_area_id,nearest_area_district,nearest_area_subdistrict,strategic_location_score_proxy,recommendation_category_proxy,business_focus_proxy,candidate_rank
LOC_JKT_001,Kandidat Jakarta 1,Jakarta,Menteng,Menteng,-6.207073,106.812537,Service Point,255000000,88.83,AREA_JKT_005,Menteng,Menteng,60.36,Cukup Potensial,Balanced potential,1
LOC_SBY_008,Kandidat Surabaya 8,Surabaya,Wonokromo,Darmo,-7.303839,112.740476,Service Point,225000000,70.82,AREA_SBY_002,Wonokromo,Darmo,58.15,Cukup Potensial,Acquisition,2
LOC_BDG_005,Kandidat Bandung 5,Bandung,Coblong,Sekeloa,-6.912451,107.59694,Service Point,133000000,56.47,AREA_BDG_006,Coblong,Sekeloa,55.6,Cukup Potensial,Balanced potential,3
LOC_JKT_005,Kandidat Jakarta 5,Jakarta,Cilandak,Lebak Bulus,-6.280411,106.797579,Mobile Service Hub,130000000,50.51,AREA_JKT_001,Cilandak,Lebak Bulus,55.03,Cukup Potensial,Balanced potential,4
LOC_JKT_002,Kandidat Jakarta 2,Jakarta,Duren Sawit,Klender,-6.214512,106.909126,Mobile Service Hub,209000000,61.38,AREA_JKT_008,Duren Sawit,Klender,53.62,Cukup Potensial,Acquisition,5
LOC_YGY_003,Kandidat Yogyakarta 3,Yogyakarta,Mantrijeron,Gedongkiwo,-7.796374,110.355192,Service Point,230000000,48.5,AREA_YGY_013,Mantrijeron,Suryodiningratan,53.42,Cukup Potensial,Balanced potential,6
LOC_SBY_006,Kandidat Surabaya 6,Surabaya,Sukolilo,Keputih,-7.275364,112.786604,Service Point,133000000,93.16,AREA_SBY_025,Sukolilo,Keputih,52.71,Cukup Potensial,Balanced potential,7
LOC_SBY_004,Kandidat Surabaya 4,Surabaya,Rungkut,Medokan Ayu,-7.311702,112.778744,Mobile Service Hub,249000000,90.01,AREA_SBY_017,Rungkut,Kalirungkut,52.53,Cukup Potensial,Balanced potential,8
LOC_JKT_008,Kandidat Jakarta 8,Jakarta,Menteng,Cikini,-6.196662,106.82244,Mobile Service Hub,111000000,56.99,AREA_JKT_028,Menteng,Gondangdia,52.45,Cukup Potensial,Balanced potential,9
LOC_BDG_001,Kandidat Bandung 1,Bandung,Buahbatu,Sekejati,-6.935099,107.656765,Mobile Service Hub,311000000,90.55,AREA_BDG_019,Buahbatu,Sekejati,52.36,Cukup Potensial,Balanced potential,10
