customer_id,city,province,district,subdistrict,latitude,longitude,customer_segment,product_category,first_transaction_date,last_transaction_date,total_transaction,transaction_frequency,total_value,avg_transaction_value,recency_days,customer_status,churn_risk_flag,nearest_branch_id,distance_to_nearest_branch_km,estimated_travel_time_min,h3_index,data_source,created_at
CUST_000001,Jakarta,DKI Jakarta,Pasar Minggu,Ragunan,-6.278574,106.812857,Loyal,After Sales Service,2025-01-06,2026-06-30,2,1.33,2000672.0,854331.0,8,Active,0,BR_JKT_03,1.99,13.5,H3_JKT_022,Internal dummy,2026-07-08 00:00:00
CUST_000002,Jakarta,DKI Jakarta,Cilandak,Lebak Bulus,-6.27973,106.794101,Inactive,Sparepart,2024-07-08,2025-06-03,2,1.0,1864324.0,861363.0,400,Inactive,1,BR_JKT_03,0.13,6.5,H3_JKT_001,Internal dummy,2026-07-08 00:00:00
CUST_000003,Jakarta,DKI Jakarta,Menteng,Gondangdia,-6.195611,106.81976,Regular,Motor Matic,2024-09-15,2026-05-01,4,2.21,151290374.0,31946873.0,68,Active,0,BR_JKT_01,1.63,13.4,H3_JKT_028,Internal dummy,2026-07-08 00:00:00
CUST_000004,Jakarta,DKI Jakarta,Kebayoran Baru,Gandaria Utara,-6.253391,106.795343,At Risk,Motor Matic,2023-02-12,2026-03-06,1,0.29,31514974.0,32282749.0,124,Risk,1,BR_JKT_04,1.5,11.3,H3_JKT_009,Internal dummy,2026-07-08 00:00:00
CUST_000005,Jakarta,DKI Jakarta,Kelapa Gading,Kelapa Gading Timur,-6.154871,106.908738,At Risk,Motor Matic,2025-01-11,2026-04-02,3,2.02,75293138.0,22163583.0,97,Risk,1,BR_JKT_02,3.39,20.1,H3_JKT_006,Internal dummy,2026-07-08 00:00:00
CUST_000006,Jakarta,DKI Jakarta,Menteng,Gondangdia,-6.194719,106.825508,At Risk,Motor Sport,2023-05-15,2026-02-05,2,0.63,100696913.0,42070929.0,153,Risk,1,BR_JKT_01,1.93,10.1,H3_JKT_028,Internal dummy,2026-07-08 00:00:00
CUST_000007,Jakarta,DKI Jakarta,Cilandak,Cilandak Barat,-6.29258,106.816799,Regular,Motor Sport,2025-01-25,2026-06-03,1,0.69,37455401.0,36844968.0,35,Active,0,BR_JKT_06,2.34,17.5,H3_JKT_027,Internal dummy,2026-07-08 00:00:00
CUST_000008,Jakarta,DKI Jakarta,Menteng,Cikini,-6.20661,106.824065,At Risk,Motor Cub,2025-03-08,2026-01-11,2,1.5,48537109.0,19722708.0,178,Risk,1,BR_JKT_01,0.84,5.2,H3_JKT_021,Internal dummy,2026-07-08 00:00:00
CUST_000009,Jakarta,DKI Jakarta,Cilandak,Cilandak Barat,-6.275254,106.789257,Regular,After Sales Service,2026-03-24,2026-06-03,4,13.77,3076140.0,625757.0,35,Active,0,BR_JKT_03,0.74,10.8,H3_JKT_003,Internal dummy,2026-07-08 00:00:00
CUST_000010,Jakarta,DKI Jakarta,Pasar Minggu,Pejaten Timur,-6.296744,106.862561,At Risk,After Sales Service,2024-03-12,2026-03-03,5,2.15,4975501.0,930990.0,127,Risk,1,BR_JKT_06,2.92,10.5,H3_JKT_024,Internal dummy,2026-07-08 00:00:00
CUST_000011,Jakarta,DKI Jakarta,Duren Sawit,Klender,-6.20932,106.918102,New,After Sales Service,2025-06-07,2026-07-05,2,1.84,2100731.0,1152154.0,3,Active,0,BR_JKT_05,1.79,14.3,H3_JKT_008,Internal dummy,2026-07-08 00:00:00
CUST_000012,Jakarta,DKI Jakarta,Menteng,Menteng,-6.199847,106.847358,Regular,Motor Sport,2024-03-02,2026-05-23,2,0.85,85020898.0,35302838.0,46,Active,0,BR_JKT_01,3.51,16.7,H3_JKT_023,Internal dummy,2026-07-08 00:00:00
CUST_000013,Jakarta,DKI Jakarta,Kebayoran Baru,Gandaria Utara,-6.251608,106.797068,Regular,Motor Cub,2025-09-05,2026-05-13,6,7.16,113307507.0,16793842.0,56,Active,0,BR_JKT_04,1.23,10.5,H3_JKT_013,Internal dummy,2026-07-08 00:00:00
CUST_000014,Jakarta,DKI Jakarta,Cengkareng,Duri Kosambi,-6.141074,106.747616,Loyal,After Sales Service,2025-06-20,2026-05-07,4,3.81,1767628.0,465429.0,62,Active,0,BR_JKT_01,10.87,39.2,H3_JKT_019,Internal dummy,2026-07-08 00:00:00
CUST_000015,Jakarta,DKI Jakarta,Kembangan,Meruya Utara,-6.211923,106.739647,Loyal,After Sales Service,2023-01-08,2026-05-16,5,1.43,4098727.0,957079.0,53,Active,0,BR_JKT_04,8.27,26.1,H3_JKT_017,Internal dummy,2026-07-08 00:00:00
CUST_000016,Jakarta,DKI Jakarta,Pasar Minggu,Pejaten Timur,-6.30182,106.857143,Loyal,After Sales Service,2023-09-12,2026-05-30,3,1.06,2190635.0,622445.0,39,Active,0,BR_JKT_06,2.29,16.7,H3_JKT_024,Internal dummy,2026-07-08 00:00:00
CUST_000017,Jakarta,DKI Jakarta,Pasar Minggu,Pejaten Timur,-6.269517,106.848308,Inactive,Motor Cub,2024-10-26,2025-07-30,2,1.18,33606395.0,15106437.0,343,Inactive,1,BR_JKT_06,3.68,16.0,H3_JKT_025,Internal dummy,2026-07-08 00:00:00
