rank,area_id,city,district,subdistrict,centroid_latitude,centroid_longitude,customer_count,active_customer_ratio,customer_density_score,retention_risk_score,market_share_defense_score,new_customer_potential_score,accessibility_score,competition_pressure_score,strategic_location_score,recommendation_category,recommendation_category_original,high_potential_flag,primary_business_objective
1,AREA_BDG_007,Bandung,Gedebage,Rancabolang,-6.931143,107.693875,74,0.6216,73.58,30.32,65.38,62.08,80.29,58.0,63.01,Sangat Strategis,Cukup Potensial,1,Market share protection
2,AREA_SBY_013,Surabaya,Wonokromo,Darmo,-7.275756,112.767357,67,0.5522,64.48,41.57,67.04,51.8,73.22,76.08,60.55,Sangat Strategis,Cukup Potensial,1,Market share protection
3,AREA_JKT_005,Jakarta,Menteng,Menteng,-6.20422,106.811835,50,0.6,55.34,27.16,65.04,69.38,76.19,78.42,60.36,Sangat Strategis,Cukup Potensial,1,New customer acquisition
4,AREA_JKT_007,Jakarta,Pasar Minggu,Jati Padang,-6.295723,106.832265,65,0.5846,65.61,35.29,59.84,62.68,71.93,54.2,59.58,Sangat Strategis,Cukup Potensial,1,New customer acquisition
5,AREA_JKT_015,Jakarta,Duren Sawit,Pondok Kelapa,-6.22333,106.91832,62,0.6613,65.94,20.67,62.9,61.25,77.03,57.83,58.6,Sangat Strategis,Cukup Potensial,1,Market share protection
6,AREA_SBY_002,Surabaya,Wonokromo,Darmo,-7.293634,112.734139,65,0.7231,67.92,26.05,57.11,72.3,64.66,37.16,58.15,Sangat Strategis,Cukup Potensial,1,New customer acquisition
7,AREA_SBY_006,Surabaya,Sukolilo,Gebang Putih,-7.292274,112.781068,36,0.6944,46.17,18.9,70.04,66.0,73.09,96.75,57.57,Sangat Strategis,Cukup Potensial,1,Market share protection
8,AREA_JKT_003,Jakarta,Cilandak,Cilandak Barat,-6.278462,106.795032,42,0.6667,50.14,24.53,64.76,54.66,81.66,79.92,56.52,Sangat Strategis,Cukup Potensial,1,Market share protection
9,AREA_JKT_009,Jakarta,Kebayoran Baru,Gandaria Utara,-6.254297,106.790906,58,0.6724,61.97,19.6,50.59,76.67,71.82,29.24,56.41,Sangat Strategis,Cukup Potensial,1,New customer acquisition
10,AREA_SBY_020,Surabaya,Gubeng,Gubeng,-7.268377,112.769626,70,0.6143,68.98,31.73,63.55,52.17,60.15,58.67,56.33,Sangat Strategis,Cukup Potensial,1,Market share protection
11,AREA_JKT_029,Jakarta,Cilandak,Cilandak Barat,-6.310775,106.802829,58,0.7069,62.31,22.05,51.35,74.27,69.07,29.07,56.01,Sangat Strategis,Cukup Potensial,1,New customer acquisition
12,AREA_BDG_006,Bandung,Coblong,Sekeloa,-6.911288,107.597908,44,0.6591,51.18,27.77,56.48,58.92,81.77,57.37,55.6,Sangat Strategis,Cukup Potensial,1,New customer acquisition
13,AREA_JKT_021,Jakarta,Menteng,Cikini,-6.20059,106.823281,34,0.5882,40.58,32.19,65.92,60.92,66.26,97.66,55.49,Sangat Strategis,Cukup Potensial,1,Market share protection
14,AREA_SMG_012,Semarang,Gunungpati,Patemon,-7.099864,110.369678,56,0.6786,61.18,46.9,68.54,52.49,38.68,77.04,55.28,Sangat Strategis,Cukup Potensial,1,Market share protection
15,AREA_JKT_001,Jakarta,Cilandak,Lebak Bulus,-6.280494,106.798506,30,0.5333,35.75,44.49,63.37,59.19,62.72,99.17,55.03,Sangat Strategis,Cukup Potensial,1,Market share protection
16,AREA_BDG_024,Bandung,Cicendo,Husein,-6.915719,107.58635,60,0.7333,67.47,16.96,64.52,51.94,66.49,56.62,54.73,Strategis,Cukup Potensial,1,Market share protection
17,AREA_BDG_017,Bandung,Coblong,Sekeloa,-6.867191,107.618791,41,0.6341,45.6,44.54,60.68,53.25,64.58,75.91,54.57,Strategis,Cukup Potensial,1,Market share protection
18,AREA_SBY_004,Surabaya,Sukolilo,Keputih,-7.304389,112.788658,38,0.6579,46.86,32.52,62.7,61.48,58.29,78.58,54.16,Strategis,Cukup Potensial,1,Market share protection
19,AREA_BDG_022,Bandung,Gedebage,Cisaranten Kidul,-6.940598,107.689055,43,0.4884,45.42,54.72,42.51,56.99,77.23,35.95,53.86,Strategis,Cukup Potensial,1,New customer acquisition
20,AREA_JKT_008,Jakarta,Duren Sawit,Klender,-6.209801,106.910392,40,0.675,47.63,25.26,54.7,70.13,64.94,55.79,53.62,Strategis,Cukup Potensial,1,New customer acquisition
21,AREA_SBY_007,Surabaya,Rungkut,Medokan Ayu,-7.319651,112.762927,62,0.7258,67.88,25.56,56.28,62.81,51.4,34.87,53.45,Strategis,Cukup Potensial,1,New customer acquisition
22,AREA_YGY_013,Yogyakarta,Mantrijeron,Suryodiningratan,-7.797116,110.355624,63,0.7302,68.98,14.71,56.86,49.05,77.17,34.95,53.42,Strategis,Cukup Potensial,1,Market share protection
23,AREA_JKT_010,Jakarta,Kelapa Gading,Kelapa Gading Barat,-6.173616,106.880478,47,0.5957,53.36,34.58,45.39,63.68,73.32,29.11,53.37,Strategis,Cukup Potensial,1,New customer acquisition
24,AREA_SBY_010,Surabaya,Tandes,Tandes,-7.267817,112.703938,64,0.6562,65.54,25.25,52.6,54.65,69.29,31.45,53.3,Strategis,Cukup Potensial,1,New customer acquisition
25,AREA_SBY_014,Surabaya,Gubeng,Airlangga,-7.286902,112.748987,17,0.5882,29.07,43.81,52.8,62.88,74.77,75.87,53.25,Strategis,Cukup Potensial,1,New customer acquisition
